id_estudiante,institucion,zona,grado,edad,sexo,nivel_socioeconomico,acceso_internet_hogar,asistencia_pct,puntaje_lenguaje,puntaje_matematicas,puntaje_ciencias,desercion
EST-005581,IE-052,Urbana,9,20,F,3,SÃ­,91.3,67.2,68.2,76.5,No
EST-000682,IE-044,Rural,9,20,M,2,No,80.1,56,67.1,60.1,No
EST-000041,IE-014,Urbana,11,21,M,1,SÃ­,83.5,73.8,65.8,60,No
EST-002495,IE-057,Urbana,6,15,M,2,SÃ­,69.9,53,33.5,63.7,No
,IE-009,Rural,9,18,M,3,No,93.5,53.2,79.8,60.1,No
EST-000305,IE-014,Urbana,10,20,F,1,No,,70.6,45.8,39.1,No
EST-003493,IE-004,Urbana,11,21,F,1,SÃ­,82.1,53.5,45.3,64.7,No
EST-001739,IE-008,Urbana,7,17,M,1,No,97.3,47.5,72.4,31.6,No
EST-005806,IE-059,Urbana,8,19,M,2,SÃ­,97.6,87.5,62.2,63.2,No
EST-005131,IE-030,Urbana,11,21,M,3,SÃ­,92.5,77.6,64.1,88.5,No
EST-004460,IE-048,Urbana,7,17,F,3,SÃ­,94.9,85.6,74.2,69.9,No
EST-005670,IE-038,Urbana,6,15,F,1,No,95.4,52.6,44.7,64.7,No
EST-005690,IE-048,Urbana,7,16,M,1,SÃ­,92.6,55.8,61.9,48,No
EST-005925,IE-031,Rural,9,20,F,2,No,86.7,83.9,68.6,62.6,No
EST-005124,IE-026,Urbana,9,19,M,2,SÃ­,71.8,41.4,54.8,45,No
EST-007000,IE-023,Urbana,6,16,M,3,SÃ­,83,86.4,54.7,81.2,No
EST-002279,IE-009,Urbana,11,21,F,2,No,77.1,48.8,37.4,57.6,No
EST-000469,IE-024,Urbana,6,15,F,1,No,88.4,65.4,48.2,62.1,No
EST-001710,IE-020,Rural,10,21,F,3,No,96.8,69.7,65.8,76.2,No
EST-005363,IE-012,Urbana,7,18,M,1,SÃ­,82.6,66.5,36,43.9,No
EST-004451,IE-038,Rural,7,17,M,2,SÃ­,84,74.2,31.5,60.3,No
EST-007074,IE-048,Urbana,10,20,M,3,SÃ­,,73.7,27.6,71.1,No
EST-002667,IE-013,URBANA,6,17,M,1,No,73.6,35.5,,37.3,No
EST-001297,IE-049,Rural,9,20,F,2,SÃ­,100,76.4,74.4,68.1,No
EST-003528,IE-017,Rural,8,19,F,1,SÃ­,81.4,68.8,62.1,48,No
EST-003324,IE-036,Urbana,8,19,M,2,SÃ­,79.5,77.6,52.7,44.5,No
EST-007052,IE-055,Urbana,7,17,F,1,No,76.7,45.3,40.2,28.4,No
EST-005786,IE-052,URBANA,8,17,F,1,SÃ­,92.2,70.7,77.5,54.8,No
EST-007340,IE-048,Urbana,6,16,F,2,SÃ­,100,25,80.4,71.2,No
EST-003458,IE-048,Urbana,7,17,M,2,SÃ­,72.9,64.4,67.7,54.2,No
EST-006111,IE-004,Urbana,9,19,F,2,No,79.6,60.4,41.2,72.3,No
EST-002622,IE-006,Urbana,6,15,M,1,SÃ­,88.9,74.1,35.4,60.7,No
EST-001741,IE-036,Urbana,7,17,F,2,No,,60.3,51.5,62.1,No
EST-001629,IE-022,Urbana,10,21,F,2,SÃ­,89.6,87.8,83.5,81.6,No
EST-000417,IE-036,Rural,11,22,F,4,SÃ­,85.6,94.4,63.9,57.4,No
EST-007317,IE-011,Urbana,7,18,M,2,No,79.7,48.6,32.9,80.6,No
EST-002158,IE-052,Rural,11,20,M,3,No,75.5,60,99.7,39,No
EST-004343,IE-017,Urbana,8,17,M,2,SÃ­,91.3,73.3,92.3,66.8,No
EST-006568,IE-056,Rural,11,22,M,2,No,90.5,63.3,86.2,59.1,No
EST-000969,IE-053,Rural,7,18,F,,No,86.1,47.7,58.3,55.9,No
EST-006879,IE-024,Rural,8,17,F,2,No,79.6,45.9,,54.9,No
EST-001251,IE-059,Rural,11,20,M,1,No,80.1,35.9,61.8,53.9,No
EST-003806,IE-036,Urbana,9,19,F,1,No,97.1,70.7,42.8,50.8,No
